================================================================================
Started: 2026-06-17T12:51:14
Args: {'train_h5': PosixPath('/lustre/home/mariyam/GMI_1C-R/fixed_train/train_fixed_360k.h5'), 'val_h5': PosixPath('/lustre/home/mariyam/GMI_1C-R/fixed_val/val_fixed_50k.h5'), 'save_dir': PosixPath('checkpoints_recover_lr3e5_from_epoch38'), 'use_static': False, 'fill_target_nan': '0.0', 'loss': 'mse', 'batch_size': 64, 'val_batch_size': 128, 'epochs': 60, 'val_every': 1, 'max_train_batches': None, 'max_val_batches': None, 'lr': 3e-05, 'weight_decay': 0.0, 'seed': 42, 'base_filters': [8, 16, 32, 64], 'use_batchnorm': False, 'final_activation': 'identity', 'amp': False, 'grad_clip': 1.0, 'resume': PosixPath('checkpoints_recover_epoch14_lr1e4_noamp_clip/best_unet.pt'), 'save_every_epoch': False, 'early_stop_patience': 20, 'scheduler_patience': 6, 'scheduler_factor': 0.5, 'min_lr': 1e-06, 'log_every': 100}
================================================================================
Device: cuda
GPU: NVIDIA L40S

Train H5 info:
  path: /lustre/home/mariyam/GMI_1C-R/fixed_train/train_fixed_360k.h5
  n: 360000
  x_gmi_shape: (360000, 78, 40, 40)
  y_shape: (360000, 13, 40, 40)
  has_static: False
  x_static_shape: None
  x_gmi_chunks: (128, 10, 5, 5)
  y_chunks: (128, 2, 5, 10)
  compression_x_gmi: lzf
  compression_y: lzf
  attrs: {'lat_max': '70.0', 'lat_min': '-70.0', 'max_permanent_invalid_fraction': '0.3', 'min_target_valid_fraction': '0.7', 'num_patches_actual': '360000', 'num_patches_target': '360000', 'patch_size': '40', 'seed': '42', 'stride': '20', 'use_static': 'False'}

Val H5 info:
  path: /lustre/home/mariyam/GMI_1C-R/fixed_val/val_fixed_50k.h5
  n: 50000
  x_gmi_shape: (50000, 78, 40, 40)
  y_shape: (50000, 13, 40, 40)
  has_static: False
  x_static_shape: None
  x_gmi_chunks: (128, 10, 5, 5)
  y_chunks: (128, 2, 5, 10)
  compression_x_gmi: lzf
  compression_y: lzf
  attrs: {'min_valid_fraction': '0.7', 'num_patches_actual': '50000', 'num_patches_target': '50000', 'patch_size': '40', 'sampling': 'balanced random stride-aligned sampling from original validation days', 'seed': '999', 'stride': '20', 'use_static': 'False'}

Model:
  in_channels: 78
  out_channels: 13
  parameters: 491,325
  train batches/epoch: 5,625
  val batches: 391
  train batch size: 64
  val batch size: 128
AMP: False
Loss: mse

Resuming from checkpoints_recover_epoch14_lr1e4_noamp_clip/best_unet.pt
Reset optimizer LR to 3e-05
  start_epoch: 39
  best_val_loss: 33.59253692687988
  best_epoch: 38

--------------------------------------------------------------------------------
Starting epoch 39/60 at 2026-06-17T12:51:43
[epoch 039 step 000100/005625] batch_loss=31.574730 running_train_loss=33.704546
[epoch 039 step 000200/005625] batch_loss=38.183361 running_train_loss=33.290404
[epoch 039 step 000300/005625] batch_loss=25.969032 running_train_loss=33.250428
[epoch 039 step 000400/005625] batch_loss=25.562986 running_train_loss=32.900969
[epoch 039 step 000500/005625] batch_loss=30.325029 running_train_loss=33.059486
[epoch 039 step 000600/005625] batch_loss=29.907368 running_train_loss=33.144204
[epoch 039 step 000700/005625] batch_loss=33.646507 running_train_loss=33.101657
[epoch 039 step 000800/005625] batch_loss=36.537342 running_train_loss=33.052381
[epoch 039 step 000900/005625] batch_loss=28.421373 running_train_loss=33.005699
[epoch 039 step 001000/005625] batch_loss=31.314201 running_train_loss=33.159615
[epoch 039 step 001100/005625] batch_loss=24.828358 running_train_loss=33.067588
[epoch 039 step 001200/005625] batch_loss=30.266251 running_train_loss=33.009647
[epoch 039 step 001300/005625] batch_loss=27.798344 running_train_loss=33.008234
[epoch 039 step 001400/005625] batch_loss=32.381531 running_train_loss=32.959455
[epoch 039 step 001500/005625] batch_loss=32.690228 running_train_loss=32.856478
[epoch 039 step 001600/005625] batch_loss=32.194725 running_train_loss=32.844862
[epoch 039 step 001700/005625] batch_loss=29.457575 running_train_loss=32.745671
[epoch 039 step 001800/005625] batch_loss=35.988472 running_train_loss=32.617533
[epoch 039 step 001900/005625] batch_loss=34.457344 running_train_loss=32.585447
[epoch 039 step 002000/005625] batch_loss=24.527687 running_train_loss=32.562292
[epoch 039 step 002100/005625] batch_loss=31.113943 running_train_loss=32.547475
[epoch 039 step 002200/005625] batch_loss=27.790211 running_train_loss=32.513531
[epoch 039 step 002300/005625] batch_loss=34.595287 running_train_loss=32.481820
[epoch 039 step 002400/005625] batch_loss=26.536900 running_train_loss=32.457511
[epoch 039 step 002500/005625] batch_loss=40.995834 running_train_loss=32.411857
[epoch 039 step 002600/005625] batch_loss=28.127848 running_train_loss=32.391501
[epoch 039 step 002700/005625] batch_loss=32.114620 running_train_loss=32.372313
[epoch 039 step 002800/005625] batch_loss=35.078285 running_train_loss=32.391555
[epoch 039 step 002900/005625] batch_loss=41.116203 running_train_loss=32.402305
[epoch 039 step 003000/005625] batch_loss=23.722326 running_train_loss=32.407308
[epoch 039 step 003100/005625] batch_loss=34.597351 running_train_loss=32.392612
[epoch 039 step 003200/005625] batch_loss=34.900242 running_train_loss=32.389276
[epoch 039 step 003300/005625] batch_loss=28.257830 running_train_loss=32.398557
[epoch 039 step 003400/005625] batch_loss=30.344255 running_train_loss=32.375912
[epoch 039 step 003500/005625] batch_loss=23.053246 running_train_loss=32.380340
